country,region,name,aliases,licence_number,licence_status,expires_at,phone,email,website,address_line1,address_line2,city,address_region,postal_code,source_registry,source_url,verified_at
CA,ON,(C.C.A.) Commercial Credit Adjusters Ltd.,,4687794,active,2026-12-31,1-866-958-5850,QA@cca.ca,https://www.cca.ca,"151B York Street, Unit 19, London, ON N6A 1A8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,1553422 Ontario Inc,X-bankers/canadian Debt Management,4702235,active,2028-01-25,,,,,,Toronto,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,2576418 Ontario Ltd.,Cccny Ontario,4740218,active,2028-04-06,,,,,,Toronto,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,852515 Ontario Limited,Action Collections And Receivables Management,3137477,active,2027-11-07,1-877-503-9633,info@actioncollections.com,https://www.actioncollections.com,"212-716 Gordon Baker Rd, Toronto, ON M2H 3B4",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,A-1 Credit Recovery & Collection Services Inc.,C3 Canada,4708420,active,2027-02-06,1-866-537-6868,info@c3can.com,https://c3can.com/,"111 Grangeway Ave, Suite 404, Scarborough, ON M1H 3E9",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Accounts General Recoveries Inc.,Agr,4741020,active,2027-06-29,,,,,,Milton,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Advanced Collection Services Ltd.,,4701275,active,2026-10-15,1-800-668-1383,info@advancedcollectionservices.com,https://advancedcollectionservices.com,"1 Yonge Street, Suite 1801, Toronto, ON M5E 1W7",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Agence De Recouvrement Solutions Inc.,Collection Agency Solutions Incorporated,4740150,expired,2020-07-05,,,,,,Stratford,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Aim Professional Services Ltd.,,2811240,active,2028-06-05,1-877-775-4555,,https://www.aimproservice.com,"P.O. Box 1209, Windsor, ON N9A 6R2",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,AllianceOne Ltd,Arm Collection,4177598,expired,2026-07-10,1-866-321-7168,,https://armcollectionagency.com,"360 Bayly Street West, Ajax, ON L1S 1P1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Altus Receivables Management Corp.,,4710237,active,2027-12-20,,,,,,Oshawa,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,ARO Inc.,,4693838,active,2026-09-01,1-877-322-1414,,https://www.aro.ca,"7100 Woodbine Ave, Suite 411, Markham, ON L3R 5J2; 3027 Harvester Rd, Suite 304, Burlington, ON L7N 3G7",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,ARO Inc.,,4740315,active,2027-02-17,1-877-322-1414,,https://www.aro.ca,"7100 Woodbine Ave, Suite 411, Markham, ON L3R 5J2; 3027 Harvester Rd, Suite 304, Burlington, ON L7N 3G7",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,ARO Inc.,,4741342,active,2026-10-13,1-877-322-1414,,https://www.aro.ca,"7100 Woodbine Ave, Suite 411, Markham, ON L3R 5J2; 3027 Harvester Rd, Suite 304, Burlington, ON L7N 3G7",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Asset Recovery & Credit Inc.,Asset Recovery And Credit,4741312,active,2026-10-14,,,,,,Toronto,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Bill Gosling Outsourcing Corp.,Allied International Credit / Societe Internationale De Recouvrement Allied,4671817,active,2027-09-03,1-888-478-8181,,https://aiccorp.ca,"55 Mulcaster Street, Suite 600, Barrie, ON L4M 0J4",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Bond Credit Management Inc.,,2870590,active,2027-09-24,,,,,,Hamilton,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Canaccede International Management Ltd.,,4739925,active,2028-05-01,1-888-316-2369,,https://www.mycanaccede.com,"901-170 University Ave, Toronto, ON M5H 3B3",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Canaccede International Management Ltd.,,4741448,active,2028-02-20,1-888-316-2369,,https://www.mycanaccede.com,"901-170 University Ave, Toronto, ON M5H 3B3",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Canada Legal Referral Inc.,,4381778,active,2027-07-27,1-800-241-0560,,https://www.canlegal.net,"2300 Steeles Ave West, Suite 250, Concord, ON L4K 5X6",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Canadian Credit Corporation,,4600904,active,2028-05-04,1-877-695-2500,,https://www.canadiancredit.ca,"505-150 Ferrand Dr, North York, ON M3C 3E5",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Canadian Credit Protection Corporation,,4706672,active,2026-12-09,1-866-926-9744,,https://creditprotectioncorp.com,"12 Rivalda Road, Suite 200, Toronto, ON M9M 2M3",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Canadian Express Collection Agency Inc.,,4720974,active,2027-05-22,1-416-900-6036,,https://expresscollection.ca,"895 Don Mills Road, Building 2, Suite 900, Toronto, ON M3C 1W3",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Canadian ICR Ltd.,,4719447,active,2028-06-01,1-877-838-4480,info@canadianicr.ca,https://canadianicr.ca,"7-17075 Leslie St, Newmarket, ON L3Y 8E1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Cancel IT Inc.,,4741110,active,2026-08-05,1-800-895-1373,,,"1 Concorde Gate, Unit 702-I, North York, ON M3C 3N6",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Capital Credit Recovery Corp.,,4713680,active,2026-08-18,1-866-281-3872,info@debtcollecting.ca,https://debtcollecting.ca/,"254 8th Street East, Owen Sound, ON N4K 1L1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Case Receivable Management Inc.,,4729160,active,2028-02-04,1-855-434-4782,,https://invoice911.ca/,"9-80 King Street, Welland, ON L3B 3J2",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Cash Flow Recoveries Inc.,,4575528,active,2028-01-19,1-800-495-8776,,,"945B Richmond Road, Ottawa, ON K2B 8B9",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,CBV Collection Services Ltd.,,4687993,active,2026-12-13,1-888-385-5009,inquiries@cbvcollections.com,https://www.cbvcollections.com,"600 Alden Rd, Suite 500, Markham, ON L3R 0E7",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Central Credit Control Ltd.,,3218776,active,2028-03-26,1-877-222-9876,,https://www.centralcredit.ca,"51 King Street, Suite 3, Barrie, ON L4N 6B5",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,CGI Credit Guard Inc.,,4731640,expired,2026-07-18,1-844-285-0755,,https://www.cgicreditguard.com,"Suite 800, 2425 Matheson Blvd East, Mississauga, ON L4W 5K4",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Christians Against Poverty Canada,,4735791,active,2026-09-12,1-855-214-9191,info@capcanada.org,https://www.capcanada.org/,"301-286 Sanford Ave N, Hamilton, ON L8L 6A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,City Collection Company Ltd.,Tacit Collections,4705354,active,2028-04-10,,,,"90 Northline Road, Unit 2, Toronto, ON M4B 3E5",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Collectcents Inc.,Credit Bureau Of Canada Collections,4588638,active,2028-03-09,1-800-256-8964,,https://collectcents.com,"255 Consumers Road, Suite 400, North York, ON M2J 1R4; 1450 Meyerside Dr, 2nd Floor, Mississauga, ON L5T 2N5; 2550 Victoria Park Ave, 6th Floor, Toronto, ON M2J 5A9; 1 St. Paul Street, Suite 403, St. Catharines, ON L2R 7L2",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Collection Specialist Inc.,,4699849,active,2028-05-25,1-519-748-2700,fiona@collectionspecialist.ca,https://www.collectionspecialist.ca/,"27 Manitou Dr, Unit 2D, Kitchener, ON N2C 1K9",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Collectrite Ontario (sw86) Inc.,"W-W Credit Bureau Collections, CLR Solutions and Collectrite Credit Bureau Collections",2579451,active,2026-10-01,1-800-361-2980,,https://collectrite.on.ca,"6616 Ellis Rd, Cambridge, ON N3C 2V4",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Common Collection Agency Inc.,,1300840,active,2027-01-31,1-888-851-8699,,https://www.commoncollections.com,"5900 Finch Avenue East, Suite 200A, Toronto, ON M1B 5P8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Consolidated Credit Counselling Services Of Canada Inc.,,4705786,active,2028-05-23,1-888-477-7397,counsellor@consolidatedcredit.ca,https://www.consolidatedcreditcanada.ca/,"505 Consumers Rd, Suite 400, Toronto, ON M2J 4V8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Consolidated Recovery Systems Inc.,,4740791,active,2027-11-19,1-888-261-2744,webcontact@conrecsys.com,https://conrecsys.com,"Suite 300, 801 Manning Road NE, Calgary, AB T2E 7M8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Contact Resource Services Inc.,,4693294,expired,2026-07-08,1-888-771-5803,,https://www.contactresource.com/,"P.O. Box 26083 Churchill, Mississauga, ON L5L 5W7",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Contact Resource Services Inc.,,4720423,active,2026-09-29,1-888-771-5803,,https://www.contactresource.com/,"P.O. Box 26083 Churchill, Mississauga, ON L5L 5W7",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Courneya Peter James,Peter Courneya Collection Services,4629499,active,2026-11-06,1-519-641-3715,,,"202-1674 Hyde Park Road, London, ON N6H 5L7",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credifax Limited,Credifax,4699887,expired,2024-05-25,1-866-963-1090,Info@Credifax.on.ca,https://www.credifax.on.ca/,"417 Exeter Rd, Suite 201, London, ON N6E 2Z3",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Bureau Of Owen Sound Ltd.,,1950761,active,2027-03-06,1-519-371-5000,,https://owensoundcollections.com,"972 1st Ave West, P.O. Box 696, Owen Sound, ON N4K 4K5",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4331682,active,2027-01-10,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4707958,active,2027-01-22,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4732005,active,2026-09-05,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4739135,active,2027-01-22,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4740574,active,2027-01-22,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4740789,active,2027-01-22,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4741325,active,2026-10-29,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4741326,active,2026-10-29,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Canada Debt Solutions Inc.,,4741497,active,2026-10-29,1-800-267-2272,info@creditcanada.com,https://www.creditcanada.com/,"90 Sheppard Ave E, Suite 304, Toronto, ON M2N 3A1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Control Central Inc.,,4401667,active,2027-11-22,,,,,,Toronto,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Counselling Society,,4723742,active,2027-11-29,1-888-527-8999,,https://nomoredebts.org/,"Suite 719, 1235 Bay Street, Toronto, ON M5R 3K4; Suite 935, 275 Slater Street, Ottawa, ON K1P 6A6",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Counselling Society,,4731072,active,2027-11-29,1-888-527-8999,,https://nomoredebts.org/,"Suite 719, 1235 Bay Street, Toronto, ON M5R 3K4; Suite 935, 275 Slater Street, Ottawa, ON K1P 6A6",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Network Inc.,,4545208,active,2027-09-19,1-888-684-1324,CNI@CreditNetworkCanada.com,https://creditnetworkcanada.com/,"P.O. Box 1665, 91 Geneva St, St. Catharines, ON L2R 7K1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Risk Management Canada Ltd.,Uplevel,1588685,active,2027-04-13,1-800-267-0490,,https://www.uplevel.ca,"P.O. Box 96, Station Main, Stratford, ON N5A 6S8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Credit Risk Management Canada Ltd.,Uplevel,4725106,active,2028-03-07,1-800-267-0490,,https://www.uplevel.ca,"P.O. Box 96, Station Main, Stratford, ON N5A 6S8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,D & A Collection Corporation,D & A Group Services,2889684,active,2026-08-26,1-888-395-1147,,https://dagroupservices.com,"75 Watline Avenue, Suite 142, Mississauga, ON L4Z 3E5",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Debt Control Agency Inc.,,4700800,active,2026-09-20,1-866-307-5322,,https://www.debtcontrolagency.com,"201-1 Concorde Gate, Box 39, Toronto, ON M3C 3N6",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Debt Guardian Services Inc,,4741489,expired,2026-07-12,1-866-920-1456,info@debtguardianservices.com,https://debtguardianservices.com/,"140 Regina Rd, Woodbridge, ON L4L 8N1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Debtcollect Inc.,,4697070,active,2026-07-22,1-416-640-0575,,https://www.debtcollectinc.com,"5555 Eglinton Ave W, Suite 211, Etobicoke, ON M9C 5M1",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Dixon Commercial Investigators (1982) Inc.,,2171535,active,2028-04-19,1-800-387-8929,,https://dixoncommercial.com,,,St Catharines,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Dominion Credit Recovery Inc.,,4644258,active,2026-11-17,,,,,,Toronto,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,EASICollect,,4741473,expired,2026-05-27,1-888-478-7921,,https://easicollect.com,"235 Yorkland Road, Suite 302, North York, ON M2J 4Y8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Family And Credit Counselling Services Serving York Region,,4138665,active,2028-01-28,,,,,,Richmond Hill,ON,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Financeit Services Inc.,,4737091,expired,2025-03-22,1-888-536-3025,consumers@financeit.io,https://www.financeit.io/,"8 Spadina Ave, Suite 2400, Toronto, ON M5V 0S8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Financial Debt Recovery Limited,,4007233,active,2027-07-31,1-800-763-3328,,https://fdr.on.ca,"40 West Wilmot, Suite 10, Richmond Hill, ON L4B 1H8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Financial Debt Recovery Limited,,4740965,active,2028-03-28,1-800-763-3328,,https://fdr.on.ca,"40 West Wilmot, Suite 10, Richmond Hill, ON L4B 1H8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Financial Debt Recovery Limited,,4741423,active,2028-04-24,1-800-763-3328,,https://fdr.on.ca,"40 West Wilmot, Suite 10, Richmond Hill, ON L4B 1H8",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,FSTCCS INC.,,4741377,active,2027-05-12,1-888-794-2538,,https://www.fstccs.com,"100 Consilium Place, Suite 200, Toronto, ON M1H 3E3",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
CA,ON,Gagnon Godin Agence de Recouvrement Inc,Primat,4741534,active,2028-01-26,1-855-514-0435,,https://www.primat.ca,"320 Bay Street, Suite 101, Toronto, ON M5H 4A6",,,,,collectionagencies.ca (Ontario licensed collection agencies),https://collectionagencies.ca/provinces/ontario/licensed-collection-agencies,2026-07-19T00:00:00.000Z
